observation_date,DEXSZUS
04-01-1971,4.318
05-01-1971,4.3117
06-01-1971,4.3113
07-01-1971,4.3103
08-01-1971,4.3109
11-01-1971,4.3102
12-01-1971,4.3099
13-01-1971,4.3095
14-01-1971,4.3095
15-01-1971,4.3076
18-01-1971,4.3029
19-01-1971,4.3006
20-01-1971,4.301
21-01-1971,4.3017
22-01-1971,4.2996
25-01-1971,4.3005
26-01-1971,4.2987
27-01-1971,4.2973
28-01-1971,4.2978
29-01-1971,4.2963
01-02-1971,4.2968
02-02-1971,4.2969
03-02-1971,4.2965
04-02-1971,4.2966
05-02-1971,4.2969
08-02-1971,4.2979
09-02-1971,4.2969
10-02-1971,4.2972
11-02-1971,4.2967
12-02-1971,
15-02-1971,
16-02-1971,4.2968
17-02-1971,4.2968
18-02-1971,4.2967
19-02-1971,4.2963
22-02-1971,4.2958
23-02-1971,4.2957
24-02-1971,4.3015
25-02-1971,4.3073
26-02-1971,4.307
01-03-1971,4.3073
02-03-1971,4.3054
03-03-1971,4.3039
04-03-1971,4.3068
05-03-1971,4.3066
08-03-1971,4.302
09-03-1971,4.3011
10-03-1971,4.304
11-03-1971,4.3012
12-03-1971,4.301
15-03-1971,4.3004
16-03-1971,4.3002
17-03-1971,4.2995
18-03-1971,4.2983
19-03-1971,4.2972
22-03-1971,4.2971
23-03-1971,4.2972
24-03-1971,4.2968
25-03-1971,4.2969
26-03-1971,4.2959
29-03-1971,4.2966
30-03-1971,4.2958
31-03-1971,4.2954
01-04-1971,4.2955
02-04-1971,4.2947
05-04-1971,4.2971
06-04-1971,4.2974
07-04-1971,4.296
08-04-1971,4.2937
09-04-1971,4.2951
12-04-1971,4.2969
13-04-1971,4.3019
14-04-1971,4.3024
15-04-1971,4.2992
16-04-1971,4.3019
19-04-1971,4.3052
20-04-1971,4.3039
21-04-1971,4.3008
22-04-1971,4.2995
23-04-1971,4.3025
26-04-1971,4.3008
27-04-1971,4.299
28-04-1971,4.2957
29-04-1971,4.2957
30-04-1971,4.2959
03-05-1971,4.2955
04-05-1971,4.2952
05-05-1971,4.1841
06-05-1971,4.1667
07-05-1971,4.1374
10-05-1971,4.1076
11-05-1971,4.1164
12-05-1971,4.1095
13-05-1971,4.095
14-05-1971,4.095
17-05-1971,4.0914
18-05-1971,4.0872
19-05-1971,4.0866
20-05-1971,4.0869
21-05-1971,4.0733
24-05-1971,4.0771
25-05-1971,4.0868
26-05-1971,4.0882
27-05-1971,4.0984
28-05-1971,4.1058
31-05-1971,
01-06-1971,4.1059
02-06-1971,4.0995
03-06-1971,4.0898
04-06-1971,4.094
07-06-1971,4.0879
08-06-1971,4.0896
09-06-1971,4.0909
10-06-1971,4.0851
11-06-1971,4.0885
14-06-1971,4.0901
15-06-1971,4.0948
16-06-1971,4.0907
17-06-1971,4.094
18-06-1971,4.0931
21-06-1971,4.0929
22-06-1971,4.0961
23-06-1971,4.0943
24-06-1971,4.094
25-06-1971,4.0944
28-06-1971,4.0981
29-06-1971,4.1017
30-06-1971,4.0989
01-07-1971,4.0966
02-07-1971,4.0989
05-07-1971,
06-07-1971,4.1037
07-07-1971,4.1049
08-07-1971,4.105
09-07-1971,4.1061
12-07-1971,4.106
13-07-1971,4.1038
14-07-1971,4.098
15-07-1971,4.0939
16-07-1971,4.0934
19-07-1971,4.0915
20-07-1971,4.0909
21-07-1971,4.0886
22-07-1971,4.0866
23-07-1971,4.0866
26-07-1971,4.0862
27-07-1971,4.0862
28-07-1971,4.0854
29-07-1971,4.0871
30-07-1971,4.0862
02-08-1971,4.0878
03-08-1971,4.0887
04-08-1971,4.0607
05-08-1971,4.0616
06-08-1971,4.0699
09-08-1971,4.0532
10-08-1971,4.0582
11-08-1971,4.06
12-08-1971,4.0527
13-08-1971,4.0633
16-08-1971,
17-08-1971,
18-08-1971,
19-08-1971,
20-08-1971,
23-08-1971,3.9932
24-08-1971,3.9761
25-08-1971,3.9748
26-08-1971,3.9651
27-08-1971,3.9732
30-08-1971,3.9878
31-08-1971,3.9936
01-09-1971,4.0024
02-09-1971,3.9992
03-09-1971,3.979
06-09-1971,
07-09-1971,3.9999
08-09-1971,3.9963
09-09-1971,3.9948
10-09-1971,3.9933
13-09-1971,3.9984
14-09-1971,3.9897
15-09-1971,3.9853
16-09-1971,3.986
17-09-1971,3.9864
20-09-1971,3.9714
21-09-1971,3.9751
22-09-1971,3.9714
23-09-1971,3.9563
24-09-1971,3.9698
27-09-1971,3.9689
28-09-1971,3.9681
29-09-1971,3.9594
30-09-1971,3.9541
01-10-1971,3.9588
04-10-1971,3.9599
05-10-1971,3.9596
06-10-1971,3.9603
07-10-1971,3.9604
08-10-1971,3.9659
11-10-1971,
12-10-1971,3.9699
13-10-1971,3.9781
14-10-1971,3.9824
15-10-1971,3.9833
